name,power,gender,description,in_endgame,movies_in,strength,intelligence,agility
Black Widow,peak human condit espionag wrist stinger,Female,begin great hair sign mission stop reach color wear one choos black widow save day,True,6,45,81,88
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,oper speak accord south recent futur choic whatev behavior benefit suggest page southern spiderman save day,True,4,64,71,93
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,tell soon execut sometim season natur begin effort drive hulk save day,True,2,98,60,50
Ironman,nanotechnolog suit super strength flight,Male,approach side model billion peac base use hope director scene kitchen call money color ironman save day,True,7,74,100,70
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,gener like rather recogn tree protect stori relationship sever black widow save day,True,4,53,90,95
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,requir remain save eight believ arriv four dog tradit hulk save day,True,4,100,23,40
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,list act instead care throw piec move firm main ironman save day,True,8,79,96,79
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,step earli choic yeah ago differ reason despit key specif certainli father black widow save day,True,6,65,87,87
Hulk,gamma radiat empow massiv leap anger,Male,expect win stuff realiz project child draw american first call employe continu none alon first hulk save day,True,8,96,14,46
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,pm readi way rule indic clear media machin leader whose hulk save day,True,6,96,36,53
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,list top somebodi colleg middl plan friend stand seem pull differ current agenc spiderman save day,True,3,63,68,100
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,finish summer rest feel final impact fast camera insid wait qualiti total past feel natur spiderman save day,True,5,77,68,92
Ironman,nanotechnolog suit super strength flight,Male,collect start hous ahead rais common ironman save day,True,10,56,96,68
Black Widow,peak human condit espionag wrist stinger,Female,summer feel poor hope like black widow save day,True,7,47,83,91
Spiderman,intellect web shooter,Male,someth pictur control price scene third last involv spiderman save day,True,4,74,79,92
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,member recogn past purpos growth pretti wish beauti everi human prove custom address region tri ironman save day,True,8,83,98,62
Spiderman,,Male,movi win need stop peac technolog offic relat anim direct eye bag spiderman save day,True,5,44,62,92
Ironman,nanotechnolog suit super strength flight,Male,room learn profession group move design involv ironman save day,True,9,78,98,73
Hulk,gamma radiat empow massiv leap anger,Male,price institut method insid like first follow best major real day hulk save day,True,4,99,42,52
Captain America,master tactician combat strategi battlefield analysi leadership,Male,sourc caus econom indic current figur father leav contain site captain america save day,True,7,75,77,82
Ironman,nanotechnolog suit super strength flight,Male,treat imagin later identifi first hope brother accept result ironman save day,True,8,68,98,63
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,sell six doctor dream whole six tough creat question key spiderman save day,True,7,48,63,94
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,artist whose nice without bodi execut opportun hulk save day,True,5,97,47,57
Spiderman,,Male,almost half capit travel forc inde custom skill theori hand mayb even clearli spiderman save day,True,5,58,73,99
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,would music sometim bodi term capit group small open spiderman save day,True,3,57,77,92
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,pressur lay futur stay staff forward outsid respond ironman save day,True,8,70,95,53
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,top popul art everi station begin deep polic wife anyth four writer skin spiderman save day,True,5,65,74,91
Black Widow,master spi martial artist expert marksman,Female,fine market control enter religi go south time senior follow born black widow save day,True,5,57,86,84
Captain America,indomit expert tactician shield throw,Male,beyond sound friend make go nation profession effect captain america save day,True,5,85,87,81
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,point least theori wall film race wall ten section scene black widow save day,True,4,50,80,87
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,result hour voic occur movi polit region although bodi lead ironman save day,False,9,78,93,56
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,store star consid process enough right garden law ironman save day,True,8,77,98,64
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,five store ask data includ statement posit either imag box court earli hulk save day,True,5,100,38,44
Black Widow,acrobat combat tactic geniu,Female,list set join section sing everybodi provid paint travel question even imagin affect increas candid black widow save day,True,7,46,88,94
Black Widow,multilingu fluent dozen languag global undercov oper,Female,black whether seven fish movi hot teacher manag less step last concern eye mouth black widow save day,True,7,53,87,95
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,particip commerci rock clear writer polici news spiderman save day,True,7,58,75,89
Captain America,enhanc strength endur martial art expert,Male,interest way lawyer repres elect occur captain america save day,True,7,86,79,81
Hulk,power angryinfinit strength proport anger thunder clap,Male,direct includ custom avail one approach job democrat particip concern hulk save day,True,4,99,47,29
Spiderman,,Male,next properti govern howev score job least back fine invest identifi polici face spiderman save day,True,6,55,68,96
Ironman,geniu engin energi weapon missil launcher,Male,pressur develop develop insid thought one less brother approach plant ironman save day,True,8,59,95,74
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,wide win exampl account ironman save day,True,8,67,98,71
Black Widow,master spi martial artist expert marksman,Female,babi mean region run sea must tri black widow save day,True,6,47,81,86
Captain America,master tactician combat strategi battlefield analysi leadership,Male,speech pm institut better end financi quickli captain america save day,True,9,81,70,68
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,fight american music chang mayb determin anyth rule hotel knowledg organ measur develop face hour ironman save day,True,10,75,97,57
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,rememb carri prove less leav bar prevent requir captain america save day,True,8,87,82,83
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,live seat natur energi huge recent seven ironman save day,True,8,79,100,77
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,enjoy strong line presid throughout individu man reach hulk save day,False,4,98,45,57
Spiderman,adher surfac via static silk format,Male,analysi current among valu middl writer educ send cours spiderman save day,True,2,70,86,94
Black Widow,peak human condit espionag wrist stinger,Female,keep pattern order reason room list black widow save day,True,4,49,95,92
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,cost keep enjoy student charact recent benefit properti space includ ironman save day,True,10,78,98,59
Hulk,power angryinfinit strength proport anger thunder clap,Male,edg draw busi southern forget hope secur door institut certain compar wide keep hulk save day,True,5,95,50,49
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,race mr environ polit born law west spiderman save day,True,5,44,65,95
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,realli popul never major cell fire late approach grow act carri spring white measur spiderman save day,True,5,68,80,96
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,job senior find simpli challeng final garden hard account question arm medic strong captain america save day,True,5,80,86,81
Spiderman,,Male,industri score choic increas major impact week allow kitchen wear talk rate spiderman save day,True,3,50,83,98
Captain America,indomit expert tactician shield throw,Male,creat countri comput everi parent million bodi anyon eat book boy time offer captain america save day,True,4,92,80,82
Hulk,power angryinfinit strength proport anger thunder clap,Male,weight new among spend per presid cold art two event economi quit hulk save day,True,6,97,50,57
Captain America,master tactician combat strategi battlefield analysi leadership,Male,requir central run truth fact allow usual captain america save day,True,8,94,77,84
Ironman,power armor suit repulsor flight,Male,true similar suffer team whether health ironman save day,True,9,74,99,68
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,white save network item one sit travel ironman save day,True,6,90,95,51
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,outsid parent singl real summer probabl feel militari meet secur far approach today west manag ironman save day,True,9,74,98,84
Captain America,indomit expert tactician shield throw,Male,step shake popular analysi eat base central physic captain america save day,True,7,91,76,82
Ironman,power armor suit repulsor flight,Male,bag seek certainli entir hotel consid time econom high actual window ironman save day,True,8,84,98,70
Hulk,superhuman strength anger durabl heal factor,Male,audienc road sinc affect marriag present also hulk save day,True,4,96,50,50
Ironman,geniu engin energi weapon missil launcher,Male,bed space fight relat owner democrat task chanc repres ironman save day,True,9,89,97,66
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,econom would arriv argu garden mr exist line thing avail run black widow save day,True,4,43,78,92
Black Widow,expert marksman flawless accuraci firearm throw knive rang weapon,Female,sister especi usual line task field certain free govern seat last interest hour black widow save day,True,6,51,86,88
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,anyon case size mayb night captain america save day,False,6,91,72,85
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,turn surfac listen recent continu pull blue hulk save day,True,2,98,40,40
Hulk,superhuman strength anger durabl heal factor,Male,time return cup qualiti singl hulk save day,True,7,97,42,53
Ironman,nanotechnolog suit super strength flight,Male,door address ironman save day,True,10,70,98,78
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,option student evid role save east forc often option hulk save day,False,4,99,53,66
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,fire hear tend magazin colleg moment compar today add water garden final differ everyth black widow save day,True,5,58,86,92
Hulk,gamma radiat empow massiv leap anger,Male,seriou produc laugh factor past languag day hulk save day,True,1,99,34,48
Spiderman,adher surfac via static silk format,Male,central caus seat much section invest gun young catch manag sens technolog check spiderman save day,True,4,57,70,100
Spiderman,,Male,health reduc tree seriou soon stay seven quit skin moment month gun true born stock spiderman save day,True,3,63,88,100
Hulk,superhuman strength anger durabl heal factor,Male,manag suffer term buy behavior test congress collect meet even one hulk save day,True,7,95,31,34
Hulk,gamma radiat empow massiv leap anger,Male,draw key point decis gener polit sens break cold human feel second hulk save day,True,7,99,40,30
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,challeng larg wish move build agent use shoulder way choos wife hulk save day,True,6,100,27,55
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,noth behavior sort recogn best financi popular short like water centuri time elect guy hulk save day,True,5,97,45,44
Captain America,pound snap steel chain,Male,drive long major exactli signific lot begin repres good structur drug posit task reason captain america save day,True,6,78,82,81
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,blood look return like wife anim process reach train black widow save day,True,5,56,80,87
Ironman,nanotechnolog suit super strength flight,Male,expect stop trip give white everybodi paper creat upon offer end imagin blood author famili ironman save day,True,8,67,97,66
Hulk,gamma radiat empow massiv leap anger,Male,tell brother defens list second want hard weight impact build occur american check hulk save day,True,7,100,46,47
Black Widow,acrobat combat tactic geniu,Female,chanc activ hair meet thank might local tonight win popular onto black widow save day,True,5,53,83,86
Hulk,power angryinfinit strength proport anger thunder clap,Male,kind show respons militari attorney full hulk save day,True,4,97,43,44
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,thing rock ever summer age wide question pass quit third hulk save day,True,4,95,35,53
Hulk,superhuman strength anger durabl heal factor,Male,bank citizen might wide store shake suggest rate societi floor long end reach step hulk save day,True,8,99,39,46
Hulk,superhuman strength anger durabl heal factor,Male,seriou whatev miss seek affect probabl mother ever day stop stuff often hulk save day,True,4,99,29,45
Captain America,master tactician combat strategi battlefield analysi leadership,Male,window thu larg respons treat attack industri use mean recent anim captain america save day,True,8,83,69,74
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,particular condit man centuri shoulder despit poor tree resourc billion hulk save day,True,4,99,42,40
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,caus cover rest major music film move strong hulk save day,True,7,99,37,39
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,feder star commun weight take new nearli behind big soldier ironman save day,True,9,84,97,67
Ironman,nanotechnolog suit super strength flight,Male,career way much opportun lead see theori polici move train loss dinner ironman save day,True,8,67,100,69
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,help ago reduc product avail studi captain america save day,True,6,88,84,91
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,point audienc thousand activ guess first hit stuff insid nation common like would author ironman save day,True,8,65,96,60
Spiderman,intellect web shooter,Male,add mr lawyer pull public state wait board doctor agent spiderman save day,True,6,57,77,94
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,present discuss school sure also tv individu studi spiderman save day,True,5,62,82,92
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,statement wonder across protect knowledg toward parti perform radio fli troubl war histori music ironman save day,True,7,85,95,59
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,dream event physic factor troubl recent captain america save day,True,7,83,79,81
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,establish color case leav call technolog send thousand whole includ land busi captain america save day,True,7,75,73,78
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,everyth requir old event smile popular hundr live owner identifi machin everyth blue hulk save day,True,1,98,58,64
Ironman,nanotechnolog suit super strength flight,Male,like parti hand materi decis red head take evid confer ironman save day,True,8,62,97,78
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,develop everyon mr knowledg public beauti memori creat fish paint want train guess hulk save day,True,5,97,42,45
Captain America,master tactician combat strategi battlefield analysi leadership,Male,writer decid break possibl plan win foot watch enough captain america save day,True,7,79,76,74
Spiderman,intellect web shooter,Male,last cell anyth war ten industri total spend valu return spiderman save day,True,4,50,70,95
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,interview appear bodi hair wall repres east time consid produc focu experi exactli paper captain america save day,True,9,83,90,84
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,fact attack better rise maintain former campaign pretti ironman save day,True,8,58,98,58
Captain America,master tactician combat strategi battlefield analysi leadership,Male,free guess analysi charact invest friend consid interest throw reach person expert even captain america save day,True,6,86,80,67
Captain America,peak human abil vibranium shield,Male,train seven build hard sens mean singl improv close captain america save day,True,7,73,78,74
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,agent everi develop say qualiti throughout beauti instead spiderman save day,True,5,58,79,100
Ironman,geniu engin energi weapon missil launcher,Male,summer southern pass coach method land condit process whose ironman save day,True,9,57,97,57
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,understand avoid nation garden rise writer dark result analysi court nearli educ theori tabl captain america save day,True,6,93,87,79
Hulk,gamma radiat empow massiv leap anger,Male,specif pass intern american game less differ rather choic manag pictur modern hulk save day,True,4,99,24,55
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,centuri pictur base night debat walk order base idea studi model style black widow save day,True,4,43,83,91
Hulk,gamma radiat empow massiv leap anger,Male,wind cup red collect husband invest employe becom hulk save day,True,6,99,44,50
Hulk,gamma radiat empow massiv leap anger,Male,per son war speak wait assum throughout leader bag today eye bodi everi hulk save day,True,3,98,57,76
Hulk,power angryinfinit strength proport anger thunder clap,Male,activ marriag materi space part manag describ process hulk save day,True,5,96,35,63
Spiderman,,Male,share includ success discuss religi across media spiderman save day,True,6,63,72,99
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,custom career avail common requir young specif whose worri properti rememb nearli face feel spiderman save day,True,6,75,65,97
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,charg could capit ago worri pay paper partner other discuss ago ironman save day,True,7,80,96,58
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,commerci find throughout music anyth ahead tough anyon beat hulk save day,True,5,97,30,53
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,least price season rise field spend pattern real white push sourc career hulk save day,True,4,97,27,57
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,leav probabl custom common film continu tax job right child new simpli black widow save day,True,5,57,88,94
Spiderman,intellect web shooter,Male,form busi govern program seek test spiderman save day,True,5,72,74,96
Black Widow,master spi martial artist expert marksman,Female,direct respons concern without entir everyon sea safe true town black widow save day,True,6,69,86,91
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,car cost larg never impact ago govern behavior spiderman save day,True,5,58,75,96
Ironman,geniu engin energi weapon missil launcher,Male,ye product presid readi indic natur listen check receiv piec feel product product ironman save day,True,9,52,99,67
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,appli relationship concern cell firm difficult could third comput far recent black widow save day,True,8,64,94,87
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,address centuri wide avoid sit enter perhap howev bag forget purpos move west spiderman save day,True,5,55,75,93
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,commun spring billion price paper focu thing industri particip realiz eat huge garden famili sourc catch ironman save day,True,10,91,100,69
Spiderman,,Male,enough decis occur peac air threat nation polit southern imag law read citizen spiderman save day,True,3,45,63,95
Ironman,geniu engin energi weapon missil launcher,Male,six fish detail contain attent measur inde ironman save day,True,9,66,98,69
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,execut give offer meet research blood news audienc hulk save day,True,3,96,45,52
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,director sort smile high open scientist seven recent best care local discuss teacher ironman save day,True,9,61,98,64
Spiderman,intellect web shooter,Male,first give valu somebodi event busi qualiti woman stand west sourc fact explain spiderman save day,True,5,66,64,99
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,record professor small think law air littl goal leav hulk save day,True,6,95,41,73
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,religi occur someon religi night buy nice court peac hulk save day,True,5,99,44,70
Spiderman,adher surfac via static silk format,Male,exampl success pull experi account blue care enough hand idea spiderman save day,True,6,50,78,100
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,entir record toward middl vote make job sit size music hulk save day,True,7,97,32,31
Spiderman,,Male,new anoth gener poor high modern recent impact feel contain mr drive differ spiderman save day,True,5,59,76,94
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,develop process huge everyth attorney signific go meet quickli spiderman save day,True,5,79,73,96
Captain America,pound snap steel chain,Male,popular task write treatment expect success idea captain america save day,False,6,87,74,87
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,day sell speak artist big cost leader energi spiderman save day,True,5,67,79,88
Ironman,power armor suit repulsor flight,Male,night republican alway two figur major season adult rang green without ironman save day,True,7,62,97,67
Black Widow,acrobat combat tactic geniu,Female,seriou well among war think room issu everyth fire girl close black widow save day,True,5,69,81,90
Spiderman,adher surfac via static silk format,Male,fine anim ten scientist administr network result far cultur discov spiderman save day,True,3,74,81,100
Captain America,master tactician combat strategi battlefield analysi leadership,Male,draw everi beauti blood pictur american stage cover captain america save day,True,6,89,79,71
Spiderman,adher surfac via static silk format,Male,ago listen whose situat simpli offic return color pick peopl subject challeng quit way spiderman save day,True,5,76,81,93
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,art point valu tree process administr mother admit reveal movi expert spiderman save day,True,3,64,79,93
Spiderman,,Male,success simpli director allow firm environ decis wall fire pretti spiderman save day,True,4,60,66,96
Captain America,master tactician combat strategi battlefield analysi leadership,Male,rule true two current forget fish main captain america save day,True,7,91,84,81
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,mani minut physic fall wide must car get hulk save day,False,5,99,21,43
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,project togeth let explain nation avail war write feder real spiderman save day,True,4,66,77,92
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,born condit interest servic bag accord way remain elect method pass black widow save day,True,5,53,80,91
Black Widow,master spi martial artist expert marksman,Female,discuss professor materi quickli food discuss sign true somebodi black widow save day,True,6,62,86,92
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,compar also argu long forward pass southern futur concern sort ironman save day,True,7,82,97,73
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,get kind either look dark mr usual receiv spiderman save day,True,5,56,79,100
Captain America,pound snap steel chain,Male,whole theori quickli tonight last money enter captain america save day,True,6,82,74,83
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,site grow name machin tree mayb home confer five despit time sing ironman save day,True,7,76,98,60
Ironman,power armor suit repulsor flight,Male,even back head mayb top confer sourc wonder west attent let execut ironman save day,True,10,65,97,73
Black Widow,master spi martial artist expert marksman,Female,sever prevent rais better oil individu industri countri ahead differ particular black widow save day,True,7,62,89,90
Hulk,gamma radiat empow massiv leap anger,Male,measur attent standard shake respond commerci senior hulk save day,True,3,97,32,46
Spiderman,adher surfac via static silk format,Male,machin daughter parent fine respons safe team wish candid five letter spiderman save day,True,5,52,79,88
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,sit common matter becom goal mr sourc whole first figur trial bed black widow save day,True,5,68,85,95
Captain America,enhanc reflex see object slow motion dodg bullet,Male,truth although popul attorney believ sort rich ever send hundr news finish partner hotel recent captain america save day,True,8,87,79,83
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,fact reason make offic drug heavi staff spiderman save day,True,2,49,70,95
Spiderman,,Male,move trade option product base invest term consid employe forc lawyer front everyth week instead spiderman save day,True,6,63,80,100
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,feder consid speech board style class govern grow captain america save day,True,6,83,75,72
Spiderman,intellect web shooter,Male,also short capit heavi class stori side speak close join improv put know spiderman save day,True,4,65,85,95
Hulk,power angryinfinit strength proport anger thunder clap,Male,defens subject exampl claim move attorney bed recogn store rise decis measur soon hulk save day,True,6,95,52,53
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,figur perform particip scienc way debat decis produc church commun avoid abl late spiderman save day,True,4,68,75,90
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,improv bag outsid natur peopl newspap stay challeng presid alreadi take project hulk save day,True,5,95,49,41
Hulk,gamma radiat empow massiv leap anger,Male,particular present even establish sort effort leav push drop public side mind hulk save day,True,5,99,40,70
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,subject million scientist fish color occur involv new hot pattern hotel appear captain america save day,True,6,85,65,76
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,focu still reflect somebodi often benefit true world remain black widow save day,True,8,49,76,90
Spiderman,intellect web shooter,Male,claim kind relationship night born war real chanc along hard need spiderman save day,True,5,62,75,94
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,detail far church well town offici need discov miss televis hulk save day,True,3,97,28,47
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,firm ye shake charact tabl price sometim appli chanc hulk save day,True,4,97,52,56
Hulk,gamma radiat empow massiv leap anger,Male,cup increas consid war differ way type posit phone hulk save day,False,5,99,28,63
Captain America,master tactician combat strategi battlefield analysi leadership,Male,watch state seriou activ pressur writer week tend dinner rich decid captain america save day,True,6,78,81,84
Captain America,peak human abil vibranium shield,Male,stay along leg pay major green past forget govern accept three control great big man captain america save day,True,6,83,79,82
Black Widow,multilingu fluent dozen languag global undercov oper,Female,follow fall thu debat leav owner wrong someon win black widow save day,True,5,57,82,97
Ironman,nanotechnolog suit super strength flight,Male,use live govern thu especi water rais travel materi current save deal dark econom ironman save day,True,9,76,96,44
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,build court build movi sever continu describ machin right spiderman save day,True,2,52,78,97
Hulk,superhuman strength anger durabl heal factor,Male,major discuss wall ahead scene store marriag ago condit paint forc hulk save day,True,5,97,48,38
Hulk,superhuman strength anger durabl heal factor,Male,sourc person respons offici option event note interview girl babi statement hulk save day,True,5,96,15,48
Black Widow,master spi martial artist expert marksman,Female,purpos ahead person coach goal yet age wind news make doctor tv capit black widow save day,True,4,52,85,96
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,clearli film thank possibl challeng seat drive thu cost agreement product laugh captain america save day,True,6,88,68,87
Ironman,geniu engin energi weapon missil launcher,Male,els industri home along remain occur coupl risk develop movement size ironman save day,True,8,80,99,62
Black Widow,multilingu fluent dozen languag global undercov oper,Female,growth impact nation author continu role treat black widow save day,True,6,59,83,88
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,remain need commerci anim draw although challeng third establish captain america save day,True,7,77,88,72
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,whatev democrat grow campaign perform avoid effort high tough captain america save day,True,6,82,87,90
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,know differ process mouth produc sever visit travel senior stock black widow save day,True,4,60,89,85
Hulk,power angryinfinit strength proport anger thunder clap,Male,environment point speak tabl trade variou risk art custom leg drive second hulk save day,True,5,98,33,46
Hulk,gamma radiat empow massiv leap anger,Male,everyon artist home elect spend concern attorney hulk save day,True,5,100,21,51
Spiderman,intellect web shooter,Male,expect recent room situat product main coupl design around save articl finish anyon live spiderman save day,True,4,72,56,98
Captain America,master tactician combat strategi battlefield analysi leadership,Male,happi total behavior consid continu televis countri make role posit clear concern captain america save day,True,6,87,73,84
Hulk,gamma radiat empow massiv leap anger,Male,wish former relat listen face want wonder chair north trade kind readi rule hulk save day,True,4,97,66,31
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,hotel also two charact within woman sometim hulk save day,True,3,98,29,36
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,control paint offici suggest door mayb improv nation happen within hulk save day,True,4,97,47,30
Ironman,geniu engin energi weapon missil launcher,Male,simpli draw return probabl much hold model marriag necessari parti follow polit ironman save day,True,7,74,100,60
Spiderman,adher surfac via static silk format,Male,attent share debat democrat thank forget challeng abl teach spiderman save day,True,5,54,81,94
Spiderman,,Male,consid one play man girl four prove tax form realli spiderman save day,True,3,57,71,92
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,wonder recent question win realli forward play fish surfac lot friend captain america save day,False,9,86,74,83
Ironman,nanotechnolog suit super strength flight,Male,garden top grow could way truth idea direct road ironman save day,True,8,68,97,64
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,news page peopl fight meet ironman save day,True,8,82,97,66
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,window east ye current behind program decad home ironman save day,True,9,80,98,54
Ironman,power armor suit repulsor flight,Male,movement reach man sens feder someth other someon natur countri think join econom ironman save day,True,9,72,100,69
Hulk,gamma radiat empow massiv leap anger,Male,plan toward star best particularli structur ask stage box hulk save day,True,5,98,29,66
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,act catch posit forget thu western environment ironman save day,True,10,74,98,67
Spiderman,,Male,campaign littl near enter institut deep much role spiderman save day,True,5,45,77,93
Spiderman,,Male,six tell activ includ singl right nice yeah drug minut rate colleg especi environment certainli cold spiderman save day,True,4,53,76,91
Ironman,geniu engin energi weapon missil launcher,Male,benefit probabl analysi visit condit blood court ironman save day,True,8,70,96,70
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,happen short variou night polit dark bill describ condit black widow save day,True,5,46,84,100
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,grow bar success mention poor skill unit better captain america save day,True,7,88,82,72
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,abil price support road billion morn draw man art young republican behavior ironman save day,True,10,80,100,70
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,answer prepar fear say law work south writer hulk save day,True,4,100,57,61
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,cultur despit candid walk difficult bank believ identifi thought black difficult continu process forget wind black widow save day,True,6,56,75,88
Captain America,master tactician combat strategi battlefield analysi leadership,Male,modern pressur run color hear region cup consid way late sport control arriv captain america save day,True,6,84,83,84
Hulk,gamma radiat empow massiv leap anger,Male,becom system clear singl expect sell pressur build make south financi rate hulk save day,True,4,97,38,66
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,parent technolog age join increas teacher fish either boy collect centuri eight hulk save day,True,6,99,37,49
